,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10,sim_11,sim_12,sim_13,sim_14,sim_15,sim_16,sim_17,sim_18,sim_19,sim_20
0,0,2353,7338,6233,7621,774,5445,6249,6864,506,1137,1934,2391,2802,3563,3740,5160,5365,5373,5805,1.0,0.6,0.6,0.4,0.4,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
9,9,1104,1291,1802,2251,2325,4060,4090,7609,2982,8661,7682,439,606,378,398,546,592,626,855,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3813850356982369,0.3585685828003181,0.3354101966249684,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3
10,10,8453,5350,2225,1336,114,708,1004,1069,2797,2490,434,414,2017,2166,3800,7329,7417,650,1625,1.0000000000000002,0.4767312946227962,0.4558423058385518,0.4181210050035454,0.4020151261036848,0.3813850356982369,0.3813850356982369,0.3813850356982369,0.3813850356982369,0.3813850356982369,0.3636363636363636,0.3481553119113957,0.3418817293789138,0.3418817293789138,0.3418817293789138,0.3418817293789138,0.3418817293789138,0.3418817293789138,0.3198010745334156,0.3198010745334156
13,13,6849,1336,1720,6333,114,1275,2523,2983,6238,8015,4630,7405,7417,1229,2389,2944,2990,3255,450,1.0000000000000002,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.2721655269759087,0.2519763153394848,0.2519763153394848,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2357022603955158,0.2222222222222222
14,14,1575,378,1163,3226,3819,4421,4439,5371,6273,6471,800,3404,2805,7648,4158,6381,6794,1691,2041,1.0000000000000002,0.3333333333333333,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3015113445777636,0.3015113445777636,0.2886751345948128,0.2886751345948128,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2357022603955158,0.2357022603955158
15,15,913,928,98,5084,927,1030,3147,811,1682,5487,6298,8287,4135,2354,4108,7405,147,1229,1295,1.0000000000000002,0.5555555555555556,0.4714045207910316,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3015113445777636,0.2519763153394848,0.2519763153394848,0.2519763153394848,0.2357022603955158,0.2357022603955158,0.2357022603955158
16,16,2445,3620,1229,450,1419,2334,3647,3673,4809,5261,6011,6308,6356,6544,6907,6919,7187,7404,7630,1.0000000000000002,0.4444444444444444,0.4216370213557839,0.3535533905932737,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
17,17,4845,1787,7755,9063,691,1884,2240,8082,3137,3442,4304,4915,6522,6973,7512,8544,8866,827,1147,1.0,0.3162277660168379,0.3,0.3,0.3,0.2860387767736777,0.2860387767736777,0.2581988897471611,0.2581988897471611,0.2236067977499789,0.2236067977499789,0.2236067977499789,0.2236067977499789,0.2236067977499789,0.2236067977499789,0.2236067977499789,0.2236067977499789,0.2236067977499789,0.2108185106778919,0.2108185106778919
18,18,8382,325,1190,2013,2344,665,3660,4168,2805,7648,8082,6094,6381,8106,197,801,1134,1662,2041,1.0,0.3162277660168379,0.3,0.3,0.3,0.3,0.2860387767736777,0.2860387767736777,0.2860387767736777,0.2738612787525831,0.2738612787525831,0.2581988897471611,0.2390457218668787,0.2390457218668787,0.2390457218668787,0.2236067977499789,0.2236067977499789,0.2236067977499789,0.2236067977499789,0.2236067977499789
19,19,5368,3442,6522,8544,3097,5946,7988,89,118,364,1273,1393,2146,2775,2894,3005,3046,3047,3898,1.0,0.4,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.3162277660168379,0.3162277660168379,0.3162277660168379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
